,time_played_at,win,race,enemy_race,mmr,mmr_diff,enemy_nickame,map_name,duration
0,2020-05-27 10:32:29+00:00,True,Protoss,Terran,4004,-169,giletjaune,Nightshade LE,601
1,2020-06-09 17:11:15+00:00,False,Protoss,Zerg,4186,39,djakette,Eternal Empire LE,420
2,2020-02-02 17:27:27+00:00,True,Protoss,Terran,3971,58,Syocto,Ephemeron LE,10
3,2019-12-20 18:53:00+00:00,True,Zerg,Terran,2984,-106,Jason,Simulacrum LE,569
4,2019-12-09 20:36:21+00:00,True,Protoss,Zerg,4015,-9,&lt;OGCOСK&gt;<sp/>ShushYo,Nightshade LE,454
5,2019-10-31 18:26:16+00:00,False,Zerg,Zerg,3042,-36,Rwzzz,Acropolis LE,218
6,2020-01-05 20:34:11+00:00,False,Protoss,Protoss,3992,-22,&lt;iksD&gt;<sp/>OzjaszGoldbe,World of Sleepers LE,110
7,2020-01-06 18:55:58+00:00,False,Terran,Protoss,0,0,&lt;Blacer&gt;<sp/>Hakerica,Ephemeron LE,765
8,2019-10-06 12:36:36+00:00,True,Protoss,Protoss,3826,78,vasea,World of Sleepers LE,743
9,2020-04-14 08:05:27+00:00,False,Protoss,Zerg,0,0,A.I. 1 (Very Easy),Zen LE,6
10,2020-04-23 15:24:24+00:00,True,Protoss,Zerg,0,0,&lt;ROXKIS&gt;<sp/>Shaddar,Ever Dream LE,582
11,2019-12-21 14:00:35+00:00,False,Protoss,Zerg,3937,180,RXX,Simulacrum LE,299
12,2020-04-15 19:29:20+00:00,False,Protoss,Terran,0,0,&lt;TGCrew&gt;<sp/>Paloma,Ever Dream LE,532
13,2019-12-24 20:35:20+00:00,True,Zerg,Protoss,3057,22,IAMFUNNYBOT,World of Sleepers LE,1456
14,2020-04-27 11:15:08+00:00,False,Protoss,Zerg,3980,97,DupaDuupa,Zen LE,455
15,2019-12-12 19:42:46+00:00,False,Protoss,Terran,4022,-385,cloud,Eternal Empire LE,398
16,2020-01-19 18:32:41+00:00,True,Protoss,Terran,4010,13,MuKK,Nightshade LE,714
17,2020-02-02 17:48:55+00:00,True,Protoss,Zerg,3970,-64,valera,Ephemeron LE,403
18,2019-11-26 19:20:15+00:00,True,Protoss,Terran,3924,-17,Chief,World of Sleepers LE,463
19,2019-10-05 09:12:10+00:00,True,Protoss,Zerg,-36400,-40074,&lt;TLBK&gt;<sp/>Nightly,World of Sleepers LE,755
20,2019-10-21 11:14:30+00:00,True,Protoss,Zerg,3819,-88,&lt;IDLK&gt;<sp/>jasben,Acropolis LE,590
21,2019-11-17 09:52:24+00:00,False,Zerg,Protoss,3054,-8,Unity,Triton LE,592
22,2020-02-29 15:40:54+00:00,False,Protoss,Zerg,4104,-89,Othello,Nightshade LE,635
23,2019-11-01 13:38:34+00:00,False,Zerg,Terran,3096,-60,Gladiator,Triton LE,373
24,2020-02-10 19:37:26+00:00,True,Protoss,Zerg,4023,-9,&lt;biglol&gt;<sp/>bany,Nightshade LE,959
25,2019-12-27 20:40:39+00:00,True,Protoss,Zerg,3914,0,Racin,Nightshade LE,911
26,2019-09-14 07:10:24+00:00,True,Protoss,Terran,-36400,-39703,Gulgorf,Triton LE,948
27,2019-11-18 16:17:57+00:00,True,Protoss,Protoss,3891,10,OlympusRoyal,Ephemeron LE,540
28,2019-09-13 20:52:33+00:00,True,Protoss,Terran,-36400,-39378,oldmannap,Ephemeron LE,667
29,2020-01-16 20:58:17+00:00,True,Protoss,Terran,3931,86,Exit,Nightshade LE,994
30,2020-03-13 07:52:51+00:00,False,Protoss,Protoss,3984,-256,&lt;Dobro&gt;<sp/>KINE,Ever Dream LE,936
31,2019-11-20 07:59:04+00:00,False,Protoss,Zerg,3969,-19,BuRneR,Ephemeron LE,453
32,2020-04-27 11:29:31+00:00,True,Protoss,Terran,3955,-168,&lt;BARJO&gt;<sp/>JDH,Simulacrum LE,843
33,2019-11-02 20:29:06+00:00,True,Protoss,Terran,3711,-25,&lt;PiGPan&gt;<sp/>Noose,World of Sleepers LE,796
34,2019-09-23 16:05:15+00:00,True,Protoss,Zerg,-36400,-39735,leChrist,Triton LE,842
35,2020-02-13 19:45:12+00:00,True,Protoss,Terran,4104,-121,ОТМОРОЗОК,Ephemeron LE,976
36,2020-05-01 13:09:10+00:00,True,Protoss,Protoss,3942,-140,&lt;IBeAŚI&gt;<sp/>Epiku,Ever Dream LE,711
37,2019-10-30 06:51:48+00:00,True,Protoss,Protoss,3881,40281,&lt;WPGG&gt;<sp/>Destructor,Ephemeron LE,18
38,2020-02-13 18:20:49+00:00,True,Protoss,Protoss,4083,81,Salomoon,World of Sleepers LE,590
39,2019-11-05 18:58:24+00:00,True,Protoss,Zerg,3776,24,smthFISHYcmg,World of Sleepers LE,546
40,2019-10-12 14:27:06+00:00,True,Zerg,Protoss,2866,-21,PycckuuXAKEP,Ephemeron LE,502
41,2019-12-03 19:10:16+00:00,False,Protoss,Protoss,4026,-78,Orian,World of Sleepers LE,817
42,2020-06-03 18:34:39+00:00,True,Protoss,Zerg,4180,-124,feetlover,Ever Dream LE,763
43,2019-11-18 15:58:52+00:00,True,Protoss,Zerg,3893,103,влад,Ephemeron LE,845
44,2020-05-02 19:20:36+00:00,True,Protoss,Protoss,3944,-54,mozgj,Zen LE,823
45,2019-11-19 19:10:36+00:00,False,Protoss,Protoss,3947,-62,&lt;TDDA&gt;<sp/>EMM,Ephemeron LE,219
46,2019-10-22 12:04:14+00:00,False,Protoss,Zerg,3885,-465,&lt;МД86&gt;<sp/>Moldovanin,Acropolis LE,187
47,2020-04-19 11:34:20+00:00,False,Protoss,Zerg,0,0,shadowofmich,Simulacrum LE,382
48,2020-03-30 15:48:04+00:00,False,Protoss,Zerg,4001,4,Bee,Simulacrum LE,616
49,2019-11-04 20:46:24+00:00,False,Protoss,Zerg,3825,-22,North,Ephemeron LE,311
50,2020-02-18 18:56:03+00:00,True,Protoss,Zerg,4000,-95,Hello,Ephemeron LE,849
51,2019-10-09 19:03:59+00:00,True,Zerg,Terran,2960,-21,KerMiTe,Acropolis LE,538
52,2019-12-05 19:43:40+00:00,True,Protoss,Terran,4028,27,Niinja,World of Sleepers LE,1308
53,2020-05-08 11:14:30+00:00,True,Protoss,Protoss,4107,60,&lt;tXs&gt;<sp/>TheBloke,Zen LE,992
54,2019-10-10 07:41:27+00:00,False,Protoss,Zerg,3828,26,PereiRa,Winter's Gate LE,45
55,2019-11-18 15:35:35+00:00,True,Zerg,Protoss,3014,-9,&lt;DayJ&gt;<sp/>Fuzzy,World of Sleepers LE,640
56,2019-12-11 20:04:00+00:00,False,Protoss,Protoss,4042,14,&lt;PiGPan&gt;<sp/>TNTea,Eternal Empire LE,552
57,2019-12-12 19:02:09+00:00,True,Protoss,Zerg,4042,13,contremaitre,World of Sleepers LE,772
58,2019-12-20 18:42:21+00:00,False,Protoss,Zerg,3955,-205,Nyx,Simulacrum LE,329
59,2019-12-28 20:58:25+00:00,True,Protoss,Terran,3959,22,rOoSter,Simulacrum LE,76
60,2019-11-05 18:48:41+00:00,True,Protoss,Protoss,3752,-19,&lt;dumbfu&gt;<sp/>cheesus,Ephemeron LE,259
61,2020-02-18 18:41:05+00:00,False,Protoss,Zerg,4019,-89,Canfup,Ephemeron LE,671
62,2020-06-02 18:56:11+00:00,True,Protoss,Zerg,4097,69,&lt;IndyK&gt;<sp/>Wawszyn,Eternal Empire LE,874
63,2019-11-19 19:02:22+00:00,True,Protoss,Terran,3954,384,&lt;EESC&gt;<sp/>penduloSFX,World of Sleepers LE,1003
64,2019-11-03 11:18:56+00:00,True,Protoss,Terran,3740,-44,&lt;DaGOAT&gt;<sp/>Sinus,Acropolis LE,352
65,2020-05-15 20:56:24+00:00,True,Protoss,Protoss,4006,46,TerenceSkill,Ever Dream LE,745
66,2020-03-04 17:23:14+00:00,False,Protoss,Zerg,4153,-30,MothMonkey,Nightshade LE,385
67,2019-10-29 09:14:41+00:00,True,Protoss,Protoss,3881,40281,teror,Triton LE,455
68,2019-10-31 18:19:19+00:00,False,Zerg,Protoss,3109,0,minbear,Acropolis LE,115
69,2019-11-19 19:33:09+00:00,True,Protoss,Zerg,3950,91,YvanDuRêve,Ephemeron LE,1173
70,2020-04-19 11:14:04+00:00,True,Protoss,Zerg,0,0,shadowofmich,Simulacrum LE,646
71,2020-04-17 20:26:10+00:00,False,Protoss,Protoss,4062,-31,&lt;HBGS&gt;<sp/>ShoWTimE,Golden Wall LE,297
72,2020-04-17 20:20:05+00:00,True,Protoss,Terran,4040,-40,&lt;Peeps&gt;<sp/>ReNoVation,Simulacrum LE,443
73,2020-01-19 18:19:18+00:00,True,Protoss,Terran,3989,10,&lt;Dytred&gt;<sp/>EmpiRE,Simulacrum LE,879
74,2020-05-01 12:37:24+00:00,True,Protoss,Zerg,3923,153,&lt;HsDL&gt;<sp/>Zero,Ever Dream LE,805
75,2020-03-18 12:57:49+00:00,True,Protoss,Terran,4040,-149,&lt;noIMBA&gt;<sp/>Facehugger,Golden Wall LE,865
76,2019-10-11 09:19:52+00:00,True,Zerg,Terran,2952,39352,indy,Winter's Gate LE,696
77,2020-03-29 20:40:34+00:00,False,Protoss,Protoss,4022,-18,&lt;SCBoys&gt;<sp/>CiRkuS,Nightshade LE,867
78,2020-02-10 19:20:59+00:00,True,Protoss,Protoss,3999,-73,Pablink,Ephemeron LE,692
79,2020-06-09 17:03:47+00:00,False,Protoss,Protoss,4208,14,Ziiim,Eternal Empire LE,360
80,2019-11-02 17:55:38+00:00,False,Protoss,Zerg,3688,62,Pleydellia,Triton LE,162
81,2020-02-17 17:15:49+00:00,True,Protoss,Terran,3997,-155,Stilgar,Ephemeron LE,1410
82,2020-03-14 15:18:34+00:00,True,Protoss,Terran,3993,18,ODISEO,Simulacrum LE,220
83,2020-05-15 20:43:42+00:00,True,Protoss,Zerg,0,0,A.I. 1 (Elite),Zen LE,579
84,2020-01-13 20:56:14+00:00,False,Protoss,Terran,3968,-32,SUPERsKILLER,Nightshade LE,825
85,2020-05-29 12:17:30+00:00,True,Protoss,Terran,4054,125,&lt;SeoYN&gt;<sp/>General,Ever Dream LE,2385
86,2020-04-20 11:40:13+00:00,True,Protoss,Terran,4047,28,Kilkenny,Nightshade LE,788
87,2019-11-07 18:24:02+00:00,True,Zerg,Protoss,3019,129,Icecöld,Ephemeron LE,830
88,2020-03-09 10:57:07+00:00,False,Protoss,Terran,4068,40468,мясник,Ephemeron LE,718
89,2020-04-15 14:50:51+00:00,False,Protoss,Zerg,4043,104,Anrik,Ever Dream LE,447
90,2019-11-01 09:15:52+00:00,False,Protoss,Zerg,3729,-142,Ghalib,Ephemeron LE,552
91,2020-05-01 12:42:40+00:00,True,Protoss,Protoss,3944,4,Cptred,Golden Wall LE,278
92,2020-01-14 17:17:37+00:00,True,Protoss,Protoss,3948,12,TerenceSkill,Simulacrum LE,1171
93,2020-03-18 12:33:17+00:00,False,Protoss,Protoss,4040,-61,ManeWicht,Nightshade LE,131
94,2020-02-02 18:09:05+00:00,True,Protoss,Zerg,3993,104,Jetix,Ephemeron LE,1178
95,2019-11-25 17:53:56+00:00,False,Protoss,Protoss,3949,14,Crombo,Disco Bloodbath LE,830
96,2019-12-21 16:32:08+00:00,True,Zerg,Zerg,3023,-3,Undead,Nightshade LE,725
97,2019-11-29 18:31:35+00:00,True,Protoss,Terran,3939,-14,&lt;ERHELM&gt;<sp/>Erik,Simulacrum LE,1015
98,2019-10-29 18:34:48+00:00,True,Protoss,Zerg,3728,-16,&lt;Dobro&gt;<sp/>пиражок,World of Sleepers LE,911
99,2020-04-18 20:30:57+00:00,False,Protoss,Terran,4042,-104,Alyaska,Simulacrum LE,651
100,2020-03-02 13:26:04+00:00,True,Protoss,Protoss,4106,-84,WizZy,Simulacrum LE,390
101,2019-10-29 11:20:33+00:00,False,Protoss,Protoss,3915,-17,abelian,Thunderbird LE,320
102,2019-11-28 19:00:27+00:00,False,Protoss,Terran,3962,20,&lt;SILeSp&gt;<sp/>Galactus,Eternal Empire LE,307
103,2019-12-11 20:23:18+00:00,True,Protoss,Terran,4020,8,Legionaru,Eternal Empire LE,1090
104,2019-10-22 11:42:30+00:00,True,Protoss,Protoss,3840,83,NiGHTKiNG,World of Sleepers LE,453
105,2020-02-11 17:52:08+00:00,True,Protoss,Protoss,4045,59,ZZtopGun,Simulacrum LE,441
106,2020-05-07 09:42:21+00:00,True,Protoss,Terran,4062,-57,Yeezus,Zen LE,665
107,2019-11-29 18:36:51+00:00,False,Zerg,Zerg,3050,-33,Kesko,Eternal Empire LE,267
108,2020-01-13 20:21:41+00:00,True,Protoss,Zerg,3995,80,&lt;TARAGO&gt;<sp/>Revenge,Nightshade LE,1033
109,2019-11-08 09:33:36+00:00,True,Protoss,Zerg,3821,-101,Zend,World of Sleepers LE,944
110,2020-03-10 19:40:43+00:00,True,Protoss,Zerg,4032,-18,Drakezul,Simulacrum LE,1077
111,2020-05-04 12:58:09+00:00,True,Protoss,Terran,3945,-7,Doghum,Ever Dream LE,869
112,2020-01-18 19:38:03+00:00,True,Protoss,Zerg,3950,-30,&lt;SWWT&gt;<sp/>Epic,Ephemeron LE,719
113,2019-12-14 10:50:21+00:00,True,Protoss,Terran,3933,-85,&lt;Div303&gt;<sp/>Dupsko,Simulacrum LE,930
114,2019-10-20 16:35:03+00:00,True,Zerg,Zerg,3119,40,greg,Ephemeron LE,613
115,2020-02-06 21:02:53+00:00,True,Protoss,Terran,4009,54,KJP,Nightshade LE,853
116,2019-12-21 13:30:37+00:00,False,Protoss,Protoss,3957,1,Albus,Simulacrum LE,426
117,2019-12-09 20:39:03+00:00,False,Protoss,Protoss,4036,-72,Heradrass,Eternal Empire LE,122
118,2019-12-12 18:10:58+00:00,True,Protoss,Zerg,4041,49,Ciprian,Eternal Empire LE,955
119,2019-10-08 19:28:16+00:00,True,Zerg,Zerg,2800,49,FullmetalRak,World of Sleepers LE,546
120,2020-05-10 19:29:37+00:00,False,Protoss,Terran,4109,-18,&lt;2G1M&gt;<sp/>Mime,Zen LE,999
121,2019-12-12 21:29:56+00:00,False,Protoss,Protoss,3957,75,Noobofsc,Simulacrum LE,709
122,2019-12-21 13:54:33+00:00,False,Protoss,Terran,3959,6,tiwai,Eternal Empire LE,730
123,2019-12-20 19:21:46+00:00,True,Protoss,Terran,3937,62,Neydark,Simulacrum LE,862
124,2020-05-26 09:34:07+00:00,False,Protoss,Protoss,4046,6,kerokero,Zen LE,1136
125,2020-01-05 20:30:44+00:00,False,Protoss,Terran,4015,27,oppresticles,Eternal Empire LE,405
126,2019-10-29 18:17:37+00:00,False,Protoss,Zerg,3802,-110,beh,Disco Bloodbath LE,288
127,2020-05-10 18:56:45+00:00,False,Protoss,Terran,4145,-282,Törttö,Simulacrum LE,1009
128,2019-12-12 19:21:45+00:00,False,Protoss,Protoss,4063,12,Fraze,Nightshade LE,1163
129,2019-10-22 11:34:42+00:00,False,Protoss,Protoss,3881,-185,&lt;НТТ&gt;<sp/>SPQR,Ephemeron LE,209
130,2019-10-12 14:14:32+00:00,False,Zerg,Protoss,3053,-7,&lt;LSDW&gt;<sp/>kaboum,Ephemeron LE,497
131,2020-06-10 11:27:56+00:00,False,Protoss,Terran,4125,125,Oink,Eternal Empire LE,211
132,2020-05-02 14:40:15+00:00,False,Protoss,Zerg,3968,47,&lt;IndyK&gt;<sp/>Wawszyn,Golden Wall LE,401
133,2019-11-12 09:49:52+00:00,True,Protoss,Terran,3870,-30,midhigh,World of Sleepers LE,363
134,2019-11-04 20:57:05+00:00,False,Protoss,Protoss,3777,16,IIIIIIIIIIII,World of Sleepers LE,182
135,2019-09-24 16:17:17+00:00,True,Protoss,Zerg,-36400,-41081,&lt;FxL&gt;<sp/>VokinLoksar,World of Sleepers LE,519
136,2020-02-17 16:49:49+00:00,False,Protoss,Terran,4018,7,&lt;lLiTl&gt;<sp/>Quickman,World of Sleepers LE,800
137,2019-11-02 17:45:05+00:00,True,Protoss,Protoss,3661,30,KKroer,Disco Bloodbath LE,585
138,2019-10-10 20:42:11+00:00,True,Protoss,Protoss,3827,126,Pippuri,Acropolis LE,697
139,2020-05-03 20:09:30+00:00,False,Protoss,Zerg,3966,78,RomaNo,Purity and Industry LE,270
140,2020-05-02 14:53:55+00:00,True,Protoss,Terran,3945,14,&lt;EZPTS&gt;<sp/>talisman,Nightshade LE,792
141,2020-06-02 18:39:35+00:00,True,Protoss,Protoss,4076,17,IIIIIIIII,Ever Dream LE,722
142,2020-04-30 10:56:43+00:00,True,Protoss,Zerg,3915,-9,&lt;RIIP&gt;<sp/>Airea,Purity and Industry LE,534
143,2020-02-28 07:06:26+00:00,False,Protoss,Zerg,4117,-327,IIIIIIIIIIII,Ephemeron LE,256
144,2020-06-10 11:35:16+00:00,False,Protoss,Protoss,4100,-88,&lt;UATeam&gt;<sp/>click,Submarine LE,343
145,2020-02-29 15:22:31+00:00,True,Protoss,Zerg,4083,23,StepO,Ephemeron LE,838
146,2020-03-31 12:27:18+00:00,True,Protoss,Terran,3979,-31,&lt;lLiTl&gt;<sp/>Rud,Golden Wall LE,1051
147,2020-06-04 19:18:46+00:00,True,Protoss,Zerg,4181,-189,&lt;AiRǂ&gt;<sp/>SuperNova,Nightshade LE,846
148,2019-12-24 18:53:21+00:00,True,Protoss,Zerg,3893,50,Vakhtang,Nightshade LE,1004
149,2020-04-28 13:05:12+00:00,True,Protoss,Protoss,3895,39,AndrU,Nightshade LE,845
150,2020-01-31 12:54:05+00:00,False,Protoss,Zerg,4011,-104,Stick,Ephemeron LE,591
151,2019-11-26 18:58:28+00:00,False,Protoss,Zerg,3927,19,прорвемся,World of Sleepers LE,321
152,2020-04-22 20:45:38+00:00,True,Protoss,Zerg,4001,42,mSin,Simulacrum LE,704
153,2019-11-18 17:08:15+00:00,False,Protoss,Terran,3912,89,InsighT,Ephemeron LE,44
154,2020-01-05 14:40:17+00:00,False,Protoss,Protoss,4040,-3,&lt;PÂRłAH&gt;<sp/>SolusRex,Eternal Empire LE,297
155,2020-05-10 19:12:24+00:00,False,Protoss,Terran,4131,26,&lt;2G1M&gt;<sp/>Mime,Ever Dream LE,834
156,2019-11-17 10:20:15+00:00,True,Protoss,Terran,3894,96,MightyMurloc,Ephemeron LE,1313
157,2019-09-11 15:22:43+00:00,True,Protoss,Terran,-36400,-39206,winstrol,Triton LE,478
158,2020-03-24 16:59:08+00:00,True,Zerg,Protoss,3086,8,Steelseer,Purity and Industry LE,611
159,2020-05-05 17:44:27+00:00,True,Protoss,Zerg,4005,24,&lt;ƮesXG&gt;<sp/>Rymdkrigaren,Simulacrum LE,696
160,2020-01-13 20:42:12+00:00,False,Protoss,Protoss,3989,-28,MadProbe,Ephemeron LE,149
161,2020-04-27 11:06:38+00:00,True,Protoss,Terran,3956,-77,Etharis,Golden Wall LE,22
162,2020-01-19 18:04:18+00:00,True,Protoss,Terran,3969,80,StifleR,Simulacrum LE,480
163,2019-11-19 07:23:00+00:00,True,Protoss,Protoss,3934,60,IIIIIIIIIIII,Disco Bloodbath LE,780
164,2020-06-03 17:53:48+00:00,True,Protoss,Terran,4117,171,&lt;DisES&gt;<sp/>Kamenashi,Nightshade LE,471
165,2020-04-24 18:14:15+00:00,False,Protoss,Zerg,4021,36,Spider,Simulacrum LE,369
166,2020-02-29 15:07:01+00:00,False,Protoss,Terran,4100,-367,&lt;HBeS&gt;<sp/>LoziRa,Ephemeron LE,446
167,2019-11-20 08:19:24+00:00,False,Protoss,Zerg,3948,63,&lt;CocoCo&gt;<sp/>Goty,Triton LE,1199
168,2020-04-17 19:31:37+00:00,True,Protoss,Terran,4021,-9,Boban,Simulacrum LE,882
169,2020-05-27 10:21:13+00:00,True,Protoss,Terran,3985,98,Froze,Ever Dream LE,461
170,2020-04-24 18:18:47+00:00,False,Protoss,Zerg,3999,9,Spider,Golden Wall LE,218
171,2020-03-12 19:06:49+00:00,False,Protoss,Protoss,4009,104,Salomoon,Ever Dream LE,594
172,2020-01-05 20:39:37+00:00,True,Protoss,Protoss,3972,-56,lIlIlIIlIlIl,Eternal Empire LE,274
173,2020-01-05 14:55:15+00:00,True,Protoss,Terran,0,0,Sanedude,Nightshade LE,394
174,2019-12-24 11:17:11+00:00,False,Protoss,Terran,3869,6,&lt;isIMBA&gt;<sp/>naincraft,Eternal Empire LE,283
175,2020-03-09 11:03:30+00:00,False,Protoss,Protoss,4050,-178,Noldo,Nightshade LE,225
176,2020-01-05 20:23:43+00:00,False,Protoss,Zerg,4039,103,&lt;ORRO&gt;<sp/>jul,Simulacrum LE,280
177,2019-11-25 17:38:25+00:00,True,Protoss,Zerg,3925,-95,&lt;kOzY&gt;<sp/>Dave,World of Sleepers LE,891
178,2020-04-19 10:59:16+00:00,False,Protoss,Zerg,0,0,shadowofmich,Simulacrum LE,522
179,2019-12-21 14:27:45+00:00,True,Protoss,Terran,3896,-15,Stefan,Eternal Empire LE,1009
180,2020-02-05 21:05:33+00:00,True,Protoss,Protoss,3965,-46,Orian,Ephemeron LE,131
181,2019-11-17 09:58:11+00:00,False,Protoss,Protoss,3913,-79,TrashCanMan,Triton LE,212
