,replay_file,time_played_at,win,race,enemy_race,mmr,enemy_mmr,enemy_nickame,map_name,duration,mmr_diff
0,/home/dominik/Links/SC2Reps/Nightshade LE (60).SC2Replay,2020-05-27 10:32:29+00:00,True,Protoss,Terran,4004.0,4173.0,giletjaune,Nightshade LE,601,-169.0
1,/home/dominik/Links/SC2Reps/Eternal Empire LE (39).SC2Replay,2020-06-09 17:11:15+00:00,False,Protoss,Zerg,4186.0,4147.0,djakette,Eternal Empire LE,420,39.0
2,/home/dominik/Links/SC2Reps/Ephemeron LE (32).SC2Replay,2020-02-02 17:27:27+00:00,True,Protoss,Terran,3971.0,3913.0,Syocto,Ephemeron LE,10,58.0
3,/home/dominik/Links/SC2Reps/Simulacrum LE (11).SC2Replay,2019-12-20 18:53:00+00:00,True,Zerg,Terran,2984.0,3090.0,Jason,Simulacrum LE,569,-106.0
4,/home/dominik/Links/SC2Reps/World of Sleepers LE (26) paused and guy left.SC2Replay,2019-11-26 19:11:43+00:00,True,Protoss,Zerg,3899.0,4851.0,SkyFlare,World of Sleepers LE,66,-952.0
5,/home/dominik/Links/SC2Reps/Nightshade LE (3).SC2Replay,2019-12-09 20:36:21+00:00,True,Protoss,Zerg,4015.0,4024.0,&lt;OGCOСK&gt;<sp/>ShushYo,Nightshade LE,454,-9.0
6,/home/dominik/Links/SC2Reps/Deathaura LE (2).SC2Replay,2020-06-13 18:12:03+00:00,False,Protoss,Zerg,4081.0,4047.0,&lt;MAYEK&gt;<sp/>gabtro,Deathaura LE,786,34.0
7,/home/dominik/Links/SC2Reps/Acropolis LE (14).SC2Replay,2019-10-31 18:26:16+00:00,False,Zerg,Zerg,3042.0,3078.0,Rwzzz,Acropolis LE,218,-36.0
8,/home/dominik/Links/SC2Reps/World of Sleepers LE (46).SC2Replay,2020-01-05 20:34:11+00:00,False,Protoss,Protoss,3992.0,4014.0,&lt;iksD&gt;<sp/>OzjaszGoldbe,World of Sleepers LE,110,-22.0
9,/home/dominik/Links/SC2Reps/Ephemeron LE (28).SC2Replay,2020-01-06 18:55:58+00:00,False,Terran,Protoss,,,&lt;Blacer&gt;<sp/>Hakerica,Ephemeron LE,765,
10,/home/dominik/Links/SC2Reps/World of Sleepers LE (4).SC2Replay,2019-10-06 12:36:36+00:00,True,Protoss,Protoss,3826.0,3748.0,vasea,World of Sleepers LE,743,78.0
11,/home/dominik/Links/SC2Reps/Zen LE (3).SC2Replay,2020-04-14 08:05:27+00:00,False,Protoss,Zerg,,,A.I. 1 (Very Easy),Zen LE,6,
12,/home/dominik/Links/SC2Reps/Ever Dream LE (8).SC2Replay,2020-04-23 15:24:24+00:00,True,Protoss,Zerg,,,&lt;ROXKIS&gt;<sp/>Shaddar,Ever Dream LE,582,
13,/home/dominik/Links/SC2Reps/Ice and Chrome LE (37).SC2Replay,2020-08-04 16:29:33+00:00,True,Protoss,Protoss,4100.0,4240.0,&lt;FRZS&gt;<sp/>Troizza,Ice and Chrome LE,364,-140.0
14,/home/dominik/Links/SC2Reps/Simulacrum LE (14).SC2Replay,2019-12-21 14:00:35+00:00,False,Protoss,Zerg,3937.0,3757.0,RXX,Simulacrum LE,299,180.0
15,/home/dominik/Links/SC2Reps/Submarine LE (14).SC2Replay,2020-07-06 18:37:32+00:00,False,Protoss,Zerg,,,A.I. 1 (Elite),Submarine LE,226,
16,/home/dominik/Links/SC2Reps/Ever Dream LE (6).SC2Replay,2020-04-15 19:29:20+00:00,False,Protoss,Terran,,,&lt;TGCrew&gt;<sp/>Paloma,Ever Dream LE,532,
17,/home/dominik/Links/SC2Reps/World of Sleepers LE (42).SC2Replay,2019-12-24 20:35:20+00:00,True,Zerg,Protoss,3057.0,3035.0,IAMFUNNYBOT,World of Sleepers LE,1456,22.0
18,/home/dominik/Links/SC2Reps/Zen LE (7).SC2Replay,2020-04-27 11:15:08+00:00,False,Protoss,Zerg,3980.0,3883.0,DupaDuupa,Zen LE,455,97.0
19,/home/dominik/Links/SC2Reps/Eternal Empire LE (10).SC2Replay,2019-12-12 19:42:46+00:00,False,Protoss,Terran,4022.0,4407.0,cloud,Eternal Empire LE,398,-385.0
20,/home/dominik/Links/SC2Reps/Nightshade LE (25).SC2Replay,2020-01-19 18:32:41+00:00,True,Protoss,Terran,4010.0,3997.0,MuKK,Nightshade LE,714,13.0
21,/home/dominik/Links/SC2Reps/Ephemeron LE (33).SC2Replay,2020-02-02 17:48:55+00:00,True,Protoss,Zerg,3970.0,4034.0,valera,Ephemeron LE,403,-64.0
22,/home/dominik/Links/SC2Reps/World of Sleepers LE (27).SC2Replay,2019-11-26 19:20:15+00:00,True,Protoss,Terran,3924.0,3941.0,Chief,World of Sleepers LE,463,-17.0
23,/home/dominik/Links/SC2Reps/Submarine LE (25).SC2Replay,2020-07-16 15:26:33+00:00,True,Protoss,Zerg,,,A.I. 1 (Elite),Submarine LE,468,
24,/home/dominik/Links/SC2Reps/World of Sleepers LE (3).SC2Replay,2019-10-05 09:12:10+00:00,True,Protoss,Zerg,-36400.0,3674.0,&lt;TLBK&gt;<sp/>Nightly,World of Sleepers LE,755,-40074.0
25,/home/dominik/Links/SC2Reps/Acropolis LE (9).SC2Replay,2019-10-21 11:14:30+00:00,True,Protoss,Zerg,3819.0,3907.0,&lt;IDLK&gt;<sp/>jasben,Acropolis LE,590,-88.0
26,/home/dominik/Links/SC2Reps/Submarine LE (15).SC2Replay,2020-07-08 17:12:47+00:00,True,Protoss,Terran,4087.0,4125.0,MathewGg,Submarine LE,656,-38.0
27,/home/dominik/Links/SC2Reps/Triton LE (16).SC2Replay,2019-11-17 09:52:24+00:00,False,Zerg,Protoss,3054.0,3062.0,Unity,Triton LE,592,-8.0
28,/home/dominik/Links/SC2Reps/Nightshade LE (36).SC2Replay,2020-02-29 15:40:54+00:00,False,Protoss,Zerg,4104.0,4193.0,Othello,Nightshade LE,635,-89.0
29,/home/dominik/Links/SC2Reps/Submarine LE (26).SC2Replay,2020-07-16 15:27:24+00:00,False,Protoss,Zerg,,,A.I. 1 (Elite),Submarine LE,38,
