,replay_file,win,race,enemy_race,mmr,enemy_mmr,enemy_nickame,map_name,duration,mmr_diff
2019-09-11 15:22:43+00:00,/home/dominik/Links/SC2Reps/Triton LE.SC2Replay,True,Protoss,Terran,-36400,2806,winstrol,Triton LE,478,-39206
2019-09-11 15:35:39+00:00,/home/dominik/Links/SC2Reps/Disco Bloodbath LE.SC2Replay,True,Zerg,Zerg,-36400,2505,OtecAnisim,Disco Bloodbath LE,682,-38905
2019-09-12 10:42:41+00:00,/home/dominik/Links/SC2Reps/Thunderbird LE.SC2Replay,True,Protoss,Terran,-36400,2179,ujptm,Thunderbird LE,729,-38579
2019-09-12 10:53:37+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE.SC2Replay,True,Protoss,Terran,-36400,2535,&lt;klko&gt;<sp/>marauder,World of Sleepers LE,522,-38935
2019-09-12 16:28:28+00:00,/home/dominik/Links/SC2Reps/Thunderbird LE (2).SC2Replay,True,Protoss,Terran,-36400,2829,Toidak,Thunderbird LE,515,-39229
2019-09-13 20:52:33+00:00,/home/dominik/Links/SC2Reps/Ephemeron LE.SC2Replay,True,Protoss,Terran,-36400,2978,oldmannap,Ephemeron LE,667,-39378
2019-09-14 07:10:24+00:00,/home/dominik/Links/SC2Reps/Triton LE (2).SC2Replay,True,Protoss,Terran,-36400,3303,Gulgorf,Triton LE,948,-39703
2019-09-17 19:00:36+00:00,/home/dominik/Links/SC2Reps/Acropolis LE.SC2Replay,True,Zerg,Protoss,-36400,2554,Aertemis,Acropolis LE,373,-38954
2019-09-23 16:05:15+00:00,/home/dominik/Links/SC2Reps/Triton LE (3).SC2Replay,True,Protoss,Zerg,-36400,3335,leChrist,Triton LE,842,-39735
2019-09-24 16:17:17+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (2).SC2Replay,True,Protoss,Zerg,-36400,4681,&lt;FxL&gt;<sp/>VokinLoksar,World of Sleepers LE,519,-41081
2019-09-24 16:26:09+00:00,/home/dominik/Links/SC2Reps/Thunderbird LE (3).SC2Replay,True,Zerg,Terran,-36400,2539,Ayals,Thunderbird LE,479,-38939
2019-09-25 16:36:01+00:00,/home/dominik/Links/SC2Reps/Thunderbird LE (4).SC2Replay,True,Protoss,Terran,-36400,3515,HeadAge,Thunderbird LE,910,-39915
2019-09-25 16:49:17+00:00,/home/dominik/Links/SC2Reps/Acropolis LE (2).SC2Replay,True,Zerg,Protoss,-36400,-36400,grishaadf,Acropolis LE,473,0
2019-09-26 10:06:38+00:00,/home/dominik/Links/SC2Reps/Acropolis LE (3).SC2Replay,True,Zerg,Zerg,-36400,3001,&lt;SAZZ&gt;<sp/>LINUSWES,Acropolis LE,361,-39401
2019-09-26 17:21:45+00:00,/home/dominik/Links/SC2Reps/Acropolis LE (4).SC2Replay,True,Zerg,Terran,-36400,3338,&lt;oooboy&gt;<sp/>Ojtech,Acropolis LE,945,-39738
2019-10-04 11:08:46+00:00,/home/dominik/Links/SC2Reps/Disco Bloodbath LE (2).SC2Replay,True,Zerg,Protoss,-36400,3412,NikkooO,Disco Bloodbath LE,577,-39812
